#t	x	y	vx	vy
9.200	-1.466E-2	2.999E-3	0.214	-1.126E-2
9.300	6.506E-3	1.648E-3	0.214	0.000
9.400	2.812E-2	2.999E-3	0.214	1.801E-2
9.500	4.928E-2	5.250E-3	0.188	2.587E-2
9.600	6.562E-2	8.173E-3	0.170	2.866E-2
9.700	8.327E-2	1.098E-2	0.152	3.811E-2
9.800	9.611E-2	1.580E-2	0.112	5.015E-2
9.900	0.106	2.101E-2	7.021E-2	3.611E-2
10.000	0.110	2.302E-2	3.611E-2	8.024E-3
10.100	0.113	2.262E-2	1.204E-2	-6.018E-3
10.200	0.113	2.181E-2	-3.009E-2	-1.805E-2
10.300	0.107	1.901E-2	-8.425E-2	-2.608E-2
10.400	9.571E-2	1.660E-2	-0.122	-3.410E-2
10.500	8.247E-2	1.219E-2	-0.138	-4.413E-2
10.600	6.803E-2	7.772E-3	-0.166	-3.410E-2
10.700	4.917E-2	5.365E-3	-0.199	-2.808E-2
10.800	2.831E-2	2.156E-3	-0.207	-2.407E-2
10.900	7.850E-3	5.507E-4	-0.209	-4.012E-3
11.000	-1.341E-2	1.353E-3	-0.211	1.605E-2
11.100	-3.428E-2	3.760E-3	-0.209	1.805E-2
11.200	-5.514E-2	4.964E-3	-0.195	2.808E-2
11.300	-7.319E-2	9.377E-3	-0.152	4.213E-2
11.400	-8.563E-2	1.339E-2	-0.120	3.811E-2
11.500	-9.726E-2	1.700E-2	-0.104	3.009E-2
11.600	-0.106	1.941E-2	-6.820E-2	1.204E-2
11.700	-0.111	1.941E-2	-3.009E-2	4.012E-3
11.800	-0.113	2.021E-2	0.000	4.012E-3
11.900	-0.111	2.021E-2	4.012E-2	-1.404E-2
12.000	-0.104	1.740E-2	9.027E-2	-2.608E-2
12.100	-9.285E-2	1.499E-2	0.124	-2.608E-2
12.200	-7.961E-2	1.219E-2	0.152	-3.611E-2
12.300	-6.236E-2	7.772E-3	0.173	-4.213E-2
12.400	-4.511E-2	3.760E-3	0.183	-2.808E-2
12.500	-2.585E-2	2.156E-3	0.201	-1.003E-2
12.600	-4.988E-3	1.754E-3	0.223	8.024E-3
12.700	1.868E-2	3.760E-3	0.221	1.605E-2
12.800	3.914E-2	4.964E-3	0.197	2.608E-2
12.900	5.800E-2	8.976E-3	0.185	3.410E-2
13.000	7.605E-2	1.178E-2	0.154	3.210E-2
13.100	8.889E-2	1.539E-2	0.126	2.006E-2
13.200	0.101	1.580E-2	8.826E-2	1.003E-2
13.300	0.107	1.740E-2	3.811E-2	2.006E-2
13.400	0.109	1.981E-2	1.404E-2	1.204E-2
13.500	0.109	1.981E-2	-6.018E-3	-6.018E-3
13.600	0.108	1.860E-2	-5.416E-2	-2.006E-2
13.700	9.852E-2	1.580E-2	-9.428E-2	-3.210E-2
13.800	8.889E-2	1.219E-2	-0.114	-3.811E-2
13.900	7.565E-2	8.173E-3	-0.160	-2.407E-2
14.000	5.680E-2	7.371E-3	-0.191	-1.805E-2
14.100	3.754E-2	4.563E-3	-0.181	-2.608E-2
14.200	2.069E-2	2.156E-3	-0.197	-2.407E-2
14.300	-1.779E-3	-2.517E-4	-0.223	-4.012E-3
14.400	-2.384E-2	1.353E-3	-0.207	2.006E-2
14.500	-4.310E-2	3.760E-3	-0.195	2.407E-2
14.600	-6.276E-2	6.167E-3	-0.183	3.009E-2
14.700	-7.961E-2	9.778E-3	-0.146	4.814E-2
14.800	-9.205E-2	1.580E-2	-0.110	4.413E-2
14.900	-0.102	1.860E-2	-7.623E-2	2.006E-2
15.000	-0.107	1.981E-2	-4.413E-2	1.805E-2
15.100	-0.111	2.222E-2	-1.605E-2	1.204E-2
15.200	-0.111	2.222E-2	1.805E-2	-1.204E-2
15.300	-0.107	1.981E-2	5.817E-2	-2.608E-2
