Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
4.630	5.989E-2	1.774E-2	-0.425	2.555E-2
4.640	5.517E-2	1.963E-2	-0.425	2.555E-2
4.650	5.140E-2	1.963E-2	-0.425	2.434E-2
4.660	4.668E-2	1.963E-2	-0.425	2.434E-2
4.670	4.291E-2	1.963E-2	-0.519	3.636E-2
4.680	3.630E-2	1.963E-2	-0.661	6.011E-2
4.690	2.970E-2	2.152E-2	-0.613	5.560E-2
4.700	2.403E-2	2.341E-2	-0.944	0.125
4.710	1.082E-2	2.529E-2	-0.944	0.121
4.720	5.161E-3	2.529E-2	-0.566	4.328E-2
4.730	-5.011E-4	2.529E-2	-0.519	3.636E-2
4.740	-5.219E-3	2.529E-2	-0.566	4.328E-2
4.750	-1.182E-2	2.529E-2	-0.566	4.328E-2
4.760	-1.654E-2	2.529E-2	-0.661	5.891E-2
4.770	-2.504E-2	2.529E-2	-0.519	3.757E-2
4.780	-2.692E-2	2.718E-2	-0.472	3.486E-2
4.790	-3.447E-2	2.907E-2	-0.566	4.598E-2
4.800	-3.825E-2	3.001E-2	-0.425	2.555E-2
4.810	-4.297E-2	3.095E-2	-0.472	3.126E-2
4.820	-4.768E-2	3.190E-2	-0.613	5.199E-2
4.830	-5.523E-2	3.284E-2	-0.519	3.667E-2
4.840	-5.806E-2	3.284E-2	-0.283	1.082E-2
4.850	-6.089E-2	3.284E-2	-0.330	1.473E-2
4.860	-6.467E-2	3.284E-2	-0.330	1.473E-2
4.870	-6.750E-2	3.284E-2	-0.283	1.082E-2
4.880	-7.033E-2	3.284E-2	-0.189	6.011E-3
4.890	-7.127E-2	3.473E-2	-9.437E-2	1.593E-2
4.900	-7.222E-2	3.945E-2	-4.718E-2	7.814E-3
4.910	-7.222E-2	3.945E-2	0.000	0.000
4.920	-7.222E-2	3.945E-2	4.718E-2	6.011E-4
4.930	-7.127E-2	4.039E-2	0.330	1.953E-2
4.940	-6.561E-2	4.322E-2	0.377	2.194E-2
4.950	-6.373E-2	4.322E-2	0.236	7.513E-3
4.960	-6.089E-2	4.322E-2	0.330	1.473E-2
4.970	-5.712E-2	4.322E-2	0.566	4.358E-2
4.980	-4.957E-2	4.417E-2	0.472	3.276E-2
4.990	-4.768E-2	4.605E-2	0.189	6.011E-3
5.000	-4.580E-2	4.605E-2	0.330	1.473E-2
5.010	-4.108E-2	4.605E-2	0.472	3.035E-2
5.020	-3.636E-2	4.511E-2	0.661	5.921E-2
5.030	-2.787E-2	4.511E-2	0.708	6.762E-2
5.040	-2.221E-2	4.511E-2	0.566	4.358E-2
5.050	-1.654E-2	4.605E-2	0.519	3.667E-2
5.060	-1.182E-2	4.605E-2	0.613	5.079E-2
5.070	-4.276E-3	4.605E-2	0.755	7.724E-2
5.080	3.273E-3	4.700E-2	0.566	4.358E-2
5.090	7.048E-3	4.700E-2	0.377	1.923E-2
5.100	1.082E-2	4.700E-2	0.661	5.921E-2
5.110	2.026E-2	4.605E-2	0.849	9.767E-2
5.120	2.781E-2	4.605E-2	0.566	4.358E-2
5.130	3.158E-2	4.511E-2	0.708	6.792E-2
5.140	4.196E-2	4.511E-2	0.755	7.694E-2
5.150	4.668E-2	4.511E-2	0.566	4.328E-2
5.160	5.329E-2	4.511E-2	0.472	3.005E-2
5.170	5.612E-2	4.511E-2	0.519	3.907E-2
5.180	6.367E-2	4.228E-2	0.377	2.194E-2
5.190	6.367E-2	4.228E-2	0.330	1.473E-2
5.200	7.027E-2	4.228E-2	0.377	1.923E-2
5.210	7.122E-2	4.228E-2	9.437E-2	1.503E-3
5.220	7.216E-2	4.133E-2	0.142	5.410E-3
5.230	7.405E-2	3.945E-2	0.189	9.617E-3
5.240	7.593E-2	3.756E-2	4.718E-2	1.503E-3
5.250	7.499E-2	3.756E-2	4.718E-2	6.011E-4
5.260	7.688E-2	3.850E-2	0.000	2.705E-3
5.270	7.499E-2	3.473E-2	-0.142	1.352E-2
5.280	7.405E-2	3.284E-2	-4.718E-2	5.109E-3
5.290	7.405E-2	3.095E-2	-0.142	3.907E-3
5.300	7.122E-2	3.095E-2	-0.283	1.082E-2
5.310	6.839E-2	3.095E-2	-0.189	5.109E-3
5.320	6.744E-2	3.001E-2	-0.142	5.410E-3
5.330	6.555E-2	2.812E-2	-0.377	2.044E-2
5.340	5.989E-2	2.812E-2	-0.566	4.328E-2
5.350	5.423E-2	2.812E-2	-0.425	2.434E-2
5.360	5.140E-2	2.812E-2	-0.330	1.503E-2
5.370	4.763E-2	2.718E-2	-0.519	3.667E-2
5.380	4.102E-2	2.718E-2	-0.566	4.328E-2
5.390	3.630E-2	2.718E-2	-0.519	3.907E-2
5.400	3.064E-2	2.435E-2	-0.613	5.350E-2
5.410	2.403E-2	2.435E-2	-0.708	6.762E-2
5.420	1.648E-2	2.435E-2	-0.566	4.358E-2
5.430	1.271E-2	2.341E-2	-0.613	5.109E-2
5.440	4.217E-3	2.341E-2	-0.755	7.724E-2
5.450	-2.388E-3	2.246E-2	-0.613	5.109E-2
5.460	-8.050E-3	2.246E-2	-0.566	4.328E-2
5.470	-1.371E-2	2.246E-2	-0.519	3.636E-2
5.480	-1.843E-2	2.246E-2	-0.472	3.005E-2
5.490	-2.315E-2	2.246E-2	-0.661	5.891E-2
5.500	-3.164E-2	2.246E-2	-0.566	4.328E-2
5.510	-3.447E-2	2.246E-2	-0.425	2.434E-2
5.520	-4.013E-2	2.246E-2	-0.472	3.035E-2
5.530	-4.391E-2	2.341E-2	-0.330	1.503E-2
5.540	-4.674E-2	2.341E-2	-0.330	1.503E-2
5.550	-5.051E-2	2.435E-2	-0.519	3.907E-2
5.560	-5.712E-2	2.624E-2	-0.519	3.757E-2
5.570	-6.089E-2	2.624E-2	-0.330	1.473E-2
5.580	-6.373E-2	2.624E-2	-0.189	4.809E-3
5.590	-6.467E-2	2.624E-2	-0.142	3.005E-3
5.600	-6.656E-2	2.718E-2	-9.437E-2	1.503E-3
5.610	-6.656E-2	2.718E-2	0.000	0.000
5.620	-6.656E-2	2.718E-2	0.000	0.000
5.630	-6.656E-2	2.718E-2	0.189	6.011E-3
5.640	-6.278E-2	2.907E-2	0.283	1.352E-2
5.650	-6.089E-2	3.001E-2	0.189	5.109E-3
5.660	-5.901E-2	3.001E-2	0.189	5.109E-3
5.670	-5.712E-2	3.095E-2	0.283	1.112E-2
5.680	-5.335E-2	3.095E-2	0.377	2.194E-2
5.690	-4.957E-2	3.379E-2	0.236	1.022E-2
5.700	-4.863E-2	3.379E-2	0.283	1.112E-2
5.710	-4.391E-2	3.473E-2	0.519	3.907E-2
5.720	-3.825E-2	3.662E-2	0.519	3.907E-2
5.730	-3.353E-2	3.756E-2	0.566	4.448E-2
5.740	-2.692E-2	3.850E-2	0.802	8.806E-2
5.750	-1.749E-2	3.945E-2	0.661	6.161E-2
5.760	-1.371E-2	4.133E-2	0.566	4.448E-2
5.770	-6.163E-3	4.133E-2	0.755	7.964E-2
5.780	1.386E-3	4.417E-2	0.708	7.033E-2
5.790	7.992E-3	4.417E-2	0.425	2.434E-2
5.800	9.879E-3	4.417E-2	0.613	5.199E-2
5.810	2.026E-2	4.605E-2	0.708	6.882E-2
5.820	2.403E-2	4.605E-2	0.377	2.044E-2
5.830	2.781E-2	4.794E-2	0.519	4.117E-2
5.840	3.441E-2	4.983E-2	0.566	4.448E-2
5.850	3.913E-2	4.983E-2	0.566	4.448E-2
5.860	4.574E-2	5.171E-2	0.566	4.448E-2
5.870	5.046E-2	5.171E-2	0.519	3.667E-2
5.880	5.612E-2	5.266E-2	0.566	4.358E-2
5.890	6.178E-2	5.266E-2	0.472	3.005E-2
5.900	6.555E-2	5.266E-2	0.377	1.923E-2
5.910	6.933E-2	5.266E-2	0.377	1.953E-2
5.920	7.310E-2	5.171E-2	0.425	2.464E-2
5.930	7.782E-2	5.171E-2	0.283	1.082E-2
5.940	7.877E-2	5.171E-2	4.718E-2	3.005E-4
5.950	7.877E-2	5.171E-2	4.718E-2	3.005E-4
5.960	7.971E-2	5.171E-2	0.142	2.705E-3
5.970	8.160E-2	5.171E-2	9.437E-2	1.202E-3
5.980	8.160E-2	5.171E-2	0.000	0.000
5.990	8.160E-2	5.171E-2	-9.437E-2	1.202E-3
6.000	7.971E-2	5.171E-2	-0.283	1.202E-2
6.010	7.593E-2	4.983E-2	-0.330	1.593E-2
6.020	7.310E-2	4.983E-2	-0.236	8.716E-3
6.030	7.122E-2	4.794E-2	-0.283	1.202E-2
6.040	6.744E-2	4.794E-2	-0.472	3.005E-2
6.050	6.178E-2	4.794E-2	-0.472	3.005E-2
6.060	5.801E-2	4.794E-2	-0.330	1.473E-2
6.070	5.517E-2	4.794E-2	-0.377	2.044E-2
6.080	5.046E-2	4.605E-2	-0.425	2.915E-2
6.090	4.668E-2	4.417E-2	-0.472	3.486E-2
6.100	4.102E-2	4.228E-2	-0.661	6.011E-2
6.110	3.347E-2	4.228E-2	-0.566	4.328E-2
6.120	2.970E-2	4.228E-2	-0.566	4.358E-2
6.130	2.215E-2	4.133E-2	-0.661	5.921E-2
6.140	1.648E-2	4.133E-2	-0.755	7.694E-2
6.150	7.048E-3	4.133E-2	-0.802	8.956E-2
6.160	4.425E-4	3.850E-2	-0.661	6.642E-2
6.170	-6.163E-3	3.662E-2	-0.519	4.117E-2
6.180	-9.938E-3	3.473E-2	-0.472	3.276E-2
6.190	-1.560E-2	3.379E-2	-0.613	5.199E-2
6.200	-2.221E-2	3.284E-2	-0.613	5.109E-2
6.210	-2.787E-2	3.284E-2	-0.519	3.667E-2
6.220	-3.259E-2	3.190E-2	-0.330	1.503E-2
6.230	-3.447E-2	3.190E-2	-0.330	1.473E-2
6.240	-3.919E-2	3.190E-2	-0.566	4.358E-2
6.250	-4.580E-2	3.095E-2	-0.613	5.350E-2
6.260	-5.146E-2	2.907E-2	-0.283	1.202E-2
6.270	-5.146E-2	2.907E-2	-0.142	3.005E-3
6.280	-5.429E-2	2.812E-2	-0.236	8.716E-3
6.290	-5.618E-2	2.718E-2	-0.142	3.907E-3
6.300	-5.712E-2	2.624E-2	-0.142	3.907E-3
6.310	-5.901E-2	2.529E-2	-9.437E-2	1.503E-3
6.320	-5.901E-2	2.529E-2	0.000	0.000
6.330	-5.901E-2	2.529E-2	0.000	0.000
6.340	-5.901E-2	2.529E-2	0.236	1.232E-2
6.350	-5.429E-2	2.152E-2	0.330	1.953E-2
6.360	-5.240E-2	2.152E-2	0.236	7.513E-3
6.370	-4.957E-2	2.152E-2	0.330	1.473E-2
6.380	-4.580E-2	2.152E-2	0.283	1.082E-2
6.390	-4.391E-2	2.152E-2	0.189	4.809E-3
6.400	-4.202E-2	2.152E-2	0.330	1.473E-2
6.410	-3.730E-2	2.152E-2	0.472	3.005E-2
6.420	-3.259E-2	2.152E-2	0.472	3.005E-2
6.430	-2.787E-2	2.152E-2	0.472	3.005E-2
6.440	-2.315E-2	2.152E-2	0.661	5.891E-2
6.450	-1.466E-2	2.152E-2	0.661	5.891E-2
6.460	-9.938E-3	2.152E-2	0.472	3.035E-2
6.470	-5.219E-3	2.246E-2	0.566	4.448E-2
6.480	1.386E-3	2.341E-2	0.802	8.956E-2
6.490	1.082E-2	2.529E-2	0.755	7.814E-2
6.500	1.648E-2	2.529E-2	0.472	3.126E-2
6.510	2.026E-2	2.718E-2	0.472	3.126E-2
6.520	2.592E-2	2.718E-2	0.566	4.448E-2
6.530	3.158E-2	2.907E-2	0.566	4.448E-2
6.540	3.724E-2	2.907E-2	0.661	5.921E-2
6.550	4.479E-2	3.001E-2	0.755	7.814E-2
6.560	5.234E-2	3.095E-2	0.661	6.161E-2
6.570	5.801E-2	3.284E-2	0.519	3.757E-2
6.580	6.272E-2	3.284E-2	0.519	3.757E-2
6.590	6.839E-2	3.473E-2	0.613	5.560E-2
6.600	7.499E-2	3.662E-2	0.613	5.560E-2
6.610	8.065E-2	3.850E-2	0.330	1.593E-2
6.620	8.160E-2	3.850E-2	0.189	4.809E-3
6.630	8.443E-2	3.850E-2	0.330	1.593E-2
6.640	8.820E-2	4.039E-2	0.189	6.011E-3
6.650	8.820E-2	4.039E-2	0.000	0.000
6.660	8.820E-2	4.039E-2	0.000	1.202E-3
6.670	8.820E-2	4.228E-2	0.000	1.202E-3
6.680	8.820E-2	4.228E-2	0.000	0.000
6.690	8.820E-2	4.228E-2	0.000	3.005E-4
6.700	8.820E-2	4.322E-2	-0.142	5.410E-3
6.710	8.537E-2	4.511E-2	-0.189	7.513E-3
6.720	8.443E-2	4.605E-2	-0.142	3.005E-3
6.730	8.254E-2	4.605E-2	-0.189	4.809E-3
6.740	8.065E-2	4.605E-2	-0.189	6.011E-3
6.750	7.877E-2	4.794E-2	-0.283	1.202E-2
6.760	7.499E-2	4.794E-2	-0.377	1.953E-2
6.770	7.122E-2	4.888E-2	-0.377	1.953E-2
6.780	6.744E-2	4.888E-2	-0.283	1.082E-2
6.790	6.555E-2	4.888E-2	-0.472	3.035E-2
6.800	5.801E-2	4.983E-2	-0.661	6.161E-2
6.810	5.234E-2	5.171E-2	-0.755	7.724E-2
6.820	4.291E-2	5.077E-2	-0.566	4.448E-2
6.830	4.102E-2	4.983E-2	-0.472	3.035E-2
6.840	3.347E-2	4.983E-2	-0.755	7.694E-2
6.850	2.592E-2	4.983E-2	-0.661	5.891E-2
6.860	2.026E-2	4.983E-2	-0.613	5.079E-2
6.870	1.365E-2	4.983E-2	-0.661	5.891E-2
6.880	7.048E-3	4.983E-2	-0.519	3.757E-2
6.890	3.273E-3	4.794E-2	-0.425	2.555E-2
6.900	-1.445E-3	4.794E-2	-0.566	4.448E-2
6.910	-8.050E-3	4.605E-2	-0.661	6.011E-2
6.920	-1.466E-2	4.605E-2	-0.519	3.636E-2
6.930	-1.843E-2	4.605E-2	-0.519	3.636E-2
6.940	-2.504E-2	4.605E-2	-0.472	3.005E-2
6.950	-2.787E-2	4.605E-2	-0.377	1.923E-2
6.960	-3.259E-2	4.605E-2	-0.377	1.923E-2
6.970	-3.542E-2	4.605E-2	-0.377	1.923E-2
6.980	-4.013E-2	4.605E-2	-0.472	3.126E-2
6.990	-4.485E-2	4.417E-2	-0.330	1.743E-2
7.000	-4.674E-2	4.322E-2	-9.437E-2	1.503E-3
7.010	-4.674E-2	4.322E-2	-0.142	3.005E-3
7.020	-4.957E-2	4.228E-2	-0.189	7.513E-3
7.030	-5.051E-2	4.039E-2	-0.189	9.617E-3
7.040	-5.335E-2	3.850E-2	-0.142	3.907E-3
7.050	-5.335E-2	3.850E-2	0.283	1.563E-2
7.060	-4.768E-2	3.473E-2	0.283	1.563E-2
7.070	-4.768E-2	3.473E-2	0.000	3.088E-30
7.080	-4.768E-2	3.473E-2	0.189	4.809E-3
7.090	-4.391E-2	3.473E-2	0.566	4.598E-2
7.100	-3.636E-2	3.190E-2	0.377	2.404E-2
7.110	-3.636E-2	3.095E-2	0.236	7.814E-3
7.120	-3.164E-2	3.095E-2	0.377	1.923E-2
7.130	-2.881E-2	3.095E-2	0.330	1.473E-2
7.140	-2.504E-2	3.095E-2	0.566	4.328E-2
7.150	-1.749E-2	3.095E-2	0.519	3.636E-2
7.160	-1.466E-2	3.095E-2	0.661	5.921E-2
7.170	-4.276E-3	3.001E-2	0.708	6.792E-2
7.180	-5.011E-4	3.001E-2	0.566	4.358E-2
7.190	7.048E-3	2.907E-2	0.566	4.358E-2
7.200	1.082E-2	2.907E-2	0.330	1.503E-2
7.210	1.365E-2	2.812E-2	0.425	2.464E-2
7.220	1.932E-2	2.812E-2	0.519	3.636E-2
7.230	2.403E-2	2.812E-2	0.802	8.686E-2
7.240	3.536E-2	2.812E-2	0.849	9.767E-2
7.250	4.102E-2	2.718E-2	0.661	5.921E-2
7.260	4.857E-2	2.718E-2	0.613	5.079E-2
7.270	5.329E-2	2.718E-2	0.661	6.011E-2
7.280	6.178E-2	2.529E-2	0.849	0.100
7.290	7.027E-2	2.435E-2	0.613	5.109E-2
7.300	7.405E-2	2.435E-2	0.425	2.434E-2
7.310	7.877E-2	2.435E-2	0.330	1.473E-2
7.320	8.065E-2	2.435E-2	0.377	2.044E-2
7.330	8.631E-2	2.624E-2	0.472	3.276E-2
7.340	9.009E-2	2.718E-2	0.377	1.953E-2
7.350	9.386E-2	2.718E-2	0.189	4.809E-3
7.360	9.386E-2	2.718E-2	9.437E-2	1.202E-3
7.370	9.575E-2	2.718E-2	0.142	3.005E-3
7.380	9.669E-2	2.812E-2	4.718E-2	1.112E-2
7.390	9.669E-2	3.284E-2	-0.283	2.164E-2
7.400	9.103E-2	3.379E-2	-0.330	1.503E-2
7.410	9.009E-2	3.379E-2	-4.718E-2	3.005E-4
7.420	9.009E-2	3.379E-2	-4.718E-2	3.005E-4
7.430	8.915E-2	3.379E-2	-0.142	2.705E-3
7.440	8.726E-2	3.379E-2	-0.236	7.513E-3
7.450	8.443E-2	3.379E-2	-0.142	2.705E-3
7.460	8.443E-2	3.379E-2	-0.189	4.809E-3
7.470	8.065E-2	3.379E-2	-0.330	1.473E-2
7.480	7.782E-2	3.379E-2	-0.755	7.694E-2
7.490	6.555E-2	3.379E-2	-0.802	8.716E-2
7.500	6.178E-2	3.473E-2	-0.377	1.953E-2
7.510	5.801E-2	3.473E-2	-0.330	1.503E-2
7.520	5.517E-2	3.567E-2	-0.425	2.705E-2
7.530	4.951E-2	3.756E-2	-0.708	7.033E-2
7.540	4.102E-2	3.850E-2	-0.708	6.792E-2
7.550	3.536E-2	3.850E-2	-0.472	3.035E-2
7.560	3.158E-2	3.945E-2	-0.755	8.175E-2
7.570	2.026E-2	4.228E-2	-0.849	9.767E-2
7.580	1.460E-2	4.039E-2	-0.661	6.011E-2
7.590	7.048E-3	4.039E-2	-0.425	2.434E-2
7.600	6.104E-3	4.039E-2	-0.377	2.404E-2
7.610	-5.011E-4	4.417E-2	-0.472	3.486E-2
7.620	-3.332E-3	4.417E-2	-0.519	3.757E-2
7.630	-1.088E-2	4.605E-2	-0.613	5.560E-2
7.640	-1.560E-2	4.794E-2	-0.425	2.555E-2
7.650	-1.937E-2	4.794E-2	-0.472	3.005E-2
7.660	-2.504E-2	4.794E-2	-0.566	4.328E-2
7.670	-3.070E-2	4.794E-2	-0.519	3.636E-2
7.680	-3.542E-2	4.794E-2	-0.377	1.923E-2
7.690	-3.825E-2	4.794E-2	-0.142	2.705E-3
7.700	-3.825E-2	4.794E-2	-0.283	1.082E-2
7.710	-4.391E-2	4.794E-2	-0.283	1.082E-2
7.720	-4.391E-2	4.794E-2	0.000	0.000
7.730	-4.391E-2	4.794E-2	-0.330	1.593E-2
7.740	-5.051E-2	4.983E-2	-0.377	2.044E-2
7.750	-5.146E-2	4.983E-2	-4.718E-2	3.005E-4
7.760	-5.146E-2	4.983E-2	0.000	0.000
7.770	-5.146E-2	4.983E-2	0.142	2.705E-3
7.780	-4.863E-2	4.983E-2	0.330	1.503E-2
7.790	-4.485E-2	4.888E-2	0.330	1.503E-2
7.800	-4.202E-2	4.888E-2	0.330	1.473E-2
7.810	-3.825E-2	4.888E-2	0.283	1.082E-2
7.820	-3.636E-2	4.888E-2	0.189	4.809E-3
7.830	-3.447E-2	4.888E-2	0.330	1.473E-2
7.840	-2.975E-2	4.888E-2	0.377	1.923E-2
7.850	-2.692E-2	4.888E-2	0.283	1.082E-2
7.860	-2.409E-2	4.888E-2	0.425	2.434E-2
7.870	-1.843E-2	4.888E-2	0.755	7.694E-2
7.880	-8.994E-3	4.888E-2	0.991	0.135
7.890	1.386E-3	4.605E-2	1.085	0.174
7.900	1.271E-2	4.228E-2	0.944	0.125
7.910	2.026E-2	4.228E-2	0.755	7.814E-2
7.920	2.781E-2	4.417E-2	0.566	4.448E-2
7.930	3.158E-2	4.417E-2	0.377	1.953E-2
7.940	3.536E-2	4.322E-2	0.425	2.555E-2
7.950	4.008E-2	4.228E-2	0.613	5.109E-2
7.960	4.763E-2	4.228E-2	0.802	8.686E-2
7.970	5.612E-2	4.228E-2	0.802	8.806E-2
7.980	6.367E-2	4.039E-2	0.425	2.555E-2
7.990	6.461E-2	4.039E-2	0.377	2.194E-2
8.000	7.122E-2	3.756E-2	0.519	3.907E-2
8.010	7.499E-2	3.756E-2	0.377	1.923E-2
8.020	7.877E-2	3.756E-2	0.283	1.082E-2
8.030	8.065E-2	3.756E-2	0.283	1.082E-2
8.040	8.443E-2	3.756E-2	0.283	1.112E-2
8.050	8.631E-2	3.662E-2	0.189	7.513E-3
8.060	8.820E-2	3.473E-2	0.142	3.907E-3
8.070	8.915E-2	3.473E-2	0.142	3.005E-3
8.080	9.103E-2	3.379E-2	9.437E-2	1.503E-3
8.090	9.103E-2	3.379E-2	4.718E-2	6.011E-4
8.100	9.198E-2	3.284E-2	0.142	3.907E-3
8.110	9.386E-2	3.190E-2	9.437E-2	3.907E-3
8.120	9.386E-2	3.001E-2	0.000	1.202E-3
8.130	9.386E-2	3.001E-2	0.000	0.000
8.140	9.386E-2	3.001E-2	0.000	0.000
8.150	9.386E-2	3.001E-2	0.000	0.000
8.160	9.386E-2	3.001E-2	-0.755	7.964E-2
8.170	7.877E-2	2.718E-2	-0.991	0.135
8.180	7.405E-2	2.718E-2	-0.283	1.082E-2
8.190	7.310E-2	2.718E-2	-9.437E-2	1.503E-3
8.200	7.216E-2	2.624E-2	-9.437E-2	1.503E-3
8.210	7.122E-2	2.624E-2	-0.142	2.705E-3
8.220	6.933E-2	2.624E-2	-0.849	9.737E-2
8.230	5.423E-2	2.624E-2	-1.085	0.159
8.240	4.763E-2	2.624E-2	-0.519	3.636E-2
8.250	4.385E-2	2.624E-2	-0.330	1.473E-2
8.260	4.102E-2	2.624E-2	-0.896	0.109
8.270	2.592E-2	2.529E-2	-1.085	0.159
8.280	1.932E-2	2.529E-2	-0.661	5.891E-2
8.290	1.271E-2	2.529E-2	-0.613	5.199E-2
8.300	7.048E-3	2.718E-2	-0.519	3.907E-2
8.310	2.330E-3	2.812E-2	-0.377	2.044E-2
8.320	-5.011E-4	2.907E-2	-0.330	1.743E-2
8.330	-4.276E-3	3.095E-2	-0.661	6.161E-2
8.340	-1.371E-2	3.190E-2	-0.755	7.814E-2
8.350	-1.937E-2	3.284E-2	-0.283	1.112E-2
8.360	-1.937E-2	3.284E-2	-0.377	1.953E-2
8.370	-2.692E-2	3.379E-2	-0.566	4.358E-2
8.380	-3.070E-2	3.379E-2	-0.377	1.953E-2
8.390	-3.447E-2	3.473E-2	-0.566	4.358E-2
8.400	-4.202E-2	3.473E-2	-0.472	3.126E-2
8.410	-4.391E-2	3.662E-2	-0.236	1.022E-2
8.420	-4.674E-2	3.756E-2	-0.142	3.005E-3
8.430	-4.674E-2	3.756E-2	0.000	3.088E-30
8.440	-4.674E-2	3.756E-2	0.000	3.005E-4
8.450	-4.674E-2	3.850E-2	-0.189	6.011E-3
8.460	-5.051E-2	3.945E-2	-4.718E-2	3.005E-4
8.470	-4.768E-2	3.850E-2	0.425	2.434E-2
8.480	-4.202E-2	3.945E-2	0.330	1.743E-2
8.490	-4.108E-2	4.133E-2	0.189	7.513E-3
8.500	-3.825E-2	4.228E-2	0.236	7.814E-3
8.510	-3.636E-2	4.228E-2	0.189	4.809E-3
8.520	-3.447E-2	4.228E-2	0.283	1.202E-2
8.530	-3.070E-2	4.417E-2	0.283	1.202E-2
8.540	-2.881E-2	4.417E-2	0.236	7.513E-3
8.550	-2.598E-2	4.417E-2	0.283	1.082E-2
8.560	-2.315E-2	4.417E-2	0.802	8.806E-2
8.570	-9.938E-3	4.605E-2	0.849	0.100
8.580	-6.163E-3	4.700E-2	0.283	1.202E-2
8.590	-4.276E-3	4.794E-2	0.519	3.757E-2
8.600	4.217E-3	4.888E-2	0.755	7.814E-2
8.610	1.082E-2	4.983E-2	0.519	3.667E-2
8.620	1.460E-2	4.983E-2	0.613	5.199E-2
8.630	2.309E-2	5.171E-2	0.661	6.011E-2
8.640	2.781E-2	5.171E-2	0.566	4.328E-2
8.650	3.441E-2	5.171E-2	0.566	4.328E-2
8.660	3.913E-2	5.171E-2	0.755	7.814E-2
8.670	4.951E-2	5.360E-2	0.991	0.135
8.680	5.895E-2	5.455E-2	0.613	5.109E-2
8.690	6.178E-2	5.455E-2	0.377	1.923E-2
8.700	6.650E-2	5.455E-2	0.377	1.923E-2
8.710	6.933E-2	5.455E-2	0.661	5.921E-2
8.720	7.971E-2	5.549E-2	0.661	5.921E-2
8.730	8.254E-2	5.360E-2	0.142	3.907E-3
8.740	8.254E-2	5.360E-2	0.377	1.923E-2
8.750	9.009E-2	5.360E-2	0.377	1.923E-2
8.760	9.009E-2	5.360E-2	0.142	3.907E-3
8.770	9.292E-2	5.171E-2	0.330	1.593E-2
8.780	9.669E-2	5.171E-2	0.236	7.814E-3
8.790	9.764E-2	5.077E-2	4.718E-2	1.503E-3
8.800	9.764E-2	4.983E-2	9.437E-2	2.404E-3
8.810	9.953E-2	4.888E-2	0.142	5.410E-3
8.820	0.100	4.700E-2	4.718E-2	3.005E-3
8.830	0.100	4.605E-2	0.000	1.202E-3
8.840	0.100	4.511E-2	-0.330	1.473E-2
8.850	9.386E-2	4.605E-2	-0.377	1.953E-2
8.860	9.292E-2	4.605E-2	-0.142	5.410E-3
8.870	9.103E-2	4.322E-2	-0.283	2.164E-2
8.880	8.726E-2	4.039E-2	-0.330	1.743E-2
8.890	8.443E-2	4.039E-2	-0.330	1.593E-2
8.900	8.065E-2	3.850E-2	-0.330	1.593E-2
8.910	7.782E-2	3.850E-2	-0.142	2.705E-3
8.920	7.782E-2	3.850E-2	-0.519	3.667E-2
8.930	6.744E-2	3.756E-2	-0.896	0.110
8.940	5.989E-2	3.662E-2	-0.661	5.921E-2
8.950	5.423E-2	3.662E-2	-0.566	4.328E-2
8.960	4.857E-2	3.662E-2	-0.425	2.555E-2
8.970	4.574E-2	3.473E-2	-0.330	1.593E-2
8.980	4.196E-2	3.473E-2	-0.661	6.011E-2
8.990	3.253E-2	3.284E-2	-0.896	0.113
9.000	2.403E-2	3.095E-2	-0.613	5.350E-2
9.010	2.026E-2	3.001E-2	-0.472	3.276E-2
9.020	1.460E-2	2.812E-2	-0.566	4.598E-2
9.030	8.935E-3	2.718E-2	-0.519	3.667E-2
9.040	4.217E-3	2.718E-2	-0.472	3.126E-2
9.050	-5.011E-4	2.529E-2	-0.519	3.757E-2
9.060	-6.163E-3	2.529E-2	-0.661	5.921E-2
9.070	-1.371E-2	2.624E-2	-0.472	3.035E-2
9.080	-1.560E-2	2.624E-2	-0.519	3.667E-2
9.090	-2.409E-2	2.529E-2	-0.661	5.921E-2
9.100	-2.881E-2	2.529E-2	-0.519	3.636E-2
9.110	-3.447E-2	2.529E-2	-0.377	1.923E-2
9.120	-3.636E-2	2.529E-2	-0.189	4.809E-3
9.130	-3.825E-2	2.529E-2	-0.189	4.809E-3
9.140	-4.013E-2	2.529E-2	-9.437E-2	1.202E-3
9.150	-4.013E-2	2.529E-2	0.000	0.000
9.160	-4.013E-2	2.529E-2	0.000	0.000
9.170	-4.013E-2	2.529E-2	0.000	0.000
9.180	-4.013E-2	2.529E-2	0.000	0.000
9.190	-4.013E-2	2.529E-2	9.437E-2	1.202E-3
9.200	-3.825E-2	2.529E-2	0.189	4.809E-3
9.210	-3.636E-2	2.529E-2	0.189	4.809E-3
9.220	-3.447E-2	2.529E-2	0.189	5.109E-3
9.230	-3.259E-2	2.624E-2	0.283	1.202E-2
9.240	-2.881E-2	2.718E-2	0.425	2.555E-2
9.250	-2.409E-2	2.812E-2	0.472	3.126E-2
9.260	-1.937E-2	2.907E-2	0.472	3.126E-2
9.270	-1.466E-2	3.001E-2	0.566	4.448E-2
9.280	-8.050E-3	3.095E-2	0.472	3.276E-2
