# Time (s)	Position (m)	Velocity (ms^-1)	kinetic_energy (J)
9.040	-0.120	0.117	2.220E-3
9.050	-0.118	0.351	7.683E-3
9.060	-0.113	0.497	1.238E-2
9.070	-0.108	0.701	2.476E-2
9.080	-9.906E-2	0.935	4.439E-2
9.090	-8.912E-2	0.964	4.652E-2
9.100	-7.978E-2	0.935	4.409E-2
9.110	-7.043E-2	1.256	7.931E-2
9.120	-5.465E-2	1.373	9.433E-2
9.130	-4.296E-2	1.139	6.496E-2
9.140	-3.186E-2	1.432	0.104
9.150	-1.433E-2	1.578	0.125
9.160	-3.035E-4	1.315	8.712E-2
9.170	1.197E-2	1.198	7.179E-2
9.180	2.365E-2	1.110	6.168E-2
9.190	3.417E-2	1.023	5.267E-2
9.200	4.411E-2	0.993	4.973E-2
9.210	5.404E-2	0.847	3.590E-2
9.220	6.105E-2	0.555	1.541E-2
9.230	6.514E-2	0.701	2.459E-2
9.240	7.508E-2	0.614	1.899E-2
9.250	7.742E-2	0.175	1.921E-3
9.260	7.858E-2	2.922E-2	8.537E-5
9.270	7.800E-2	-0.234	2.902E-3
9.280	7.391E-2	-0.409	8.537E-3
9.290	6.982E-2	-0.526	1.387E-2
9.300	6.339E-2	-0.935	4.375E-2
9.310	5.112E-2	-0.993	4.934E-2
9.320	4.352E-2	-0.964	4.648E-2
9.330	3.184E-2	-1.081	5.848E-2
9.340	2.190E-2	-1.139	6.496E-2
9.350	9.046E-3	-1.373	9.497E-2
9.360	-5.563E-3	-1.256	7.999E-2
9.370	-1.608E-2	-1.373	9.467E-2
9.380	-3.303E-2	-1.402	9.851E-2
9.390	-4.413E-2	-1.110	6.168E-2
9.400	-5.523E-2	-1.344	9.049E-2
9.410	-7.101E-2	-1.256	7.909E-2
9.420	-8.036E-2	-0.964	4.665E-2
9.430	-9.029E-2	-0.877	3.846E-2
9.440	-9.789E-2	-0.760	3.159E-2
9.450	-0.105	-0.730	2.736E-2
9.460	-0.112	-0.467	1.131E-2
9.470	-0.115	-0.175	1.579E-3
9.480	-0.116	-0.117	8.537E-4
9.490	-0.117	-2.922E-2	4.268E-4
9.500	-0.117	0.263	3.841E-3
9.510	-0.112	0.438	1.029E-2
9.520	-0.108	0.584	1.746E-2
9.530	-0.100	0.877	4.051E-2
9.540	-9.029E-2	0.935	4.524E-2
9.550	-8.153E-2	1.110	6.163E-2
9.560	-6.809E-2	1.139	6.492E-2
9.570	-5.874E-2	1.286	8.268E-2
9.580	-4.238E-2	1.519	0.116
9.590	-2.835E-2	1.315	8.648E-2
9.600	-1.608E-2	1.373	9.774E-2
9.610	-8.879E-4	1.256	7.999E-2
9.620	9.046E-3	1.198	7.213E-2
9.630	2.307E-2	1.344	9.049E-2
9.640	3.593E-2	0.935	4.375E-2
9.650	4.177E-2	0.818	3.351E-2
9.660	5.229E-2	0.993	4.938E-2
9.670	6.164E-2	0.877	3.859E-2
9.680	6.982E-2	0.497	1.234E-2
9.690	7.157E-2	0.175	1.579E-3
9.700	7.332E-2	0.205	2.134E-3
9.710	7.566E-2	0.146	1.067E-3
9.720	7.625E-2	-8.765E-2	4.268E-4
9.730	7.391E-2	-0.292	4.439E-3
9.740	7.040E-2	-0.555	1.545E-2
9.750	6.281E-2	-0.760	2.885E-2
9.760	5.521E-2	-0.935	4.409E-2
9.770	4.411E-2	-0.877	3.846E-2
9.780	3.768E-2	-1.052	5.536E-2
9.790	2.307E-2	-1.286	8.281E-2
9.800	1.197E-2	-1.139	6.496E-2
9.810	2.808E-4	-1.344	9.036E-2
9.820	-1.491E-2	-1.373	9.446E-2
9.830	-2.718E-2	-1.227	7.546E-2
9.840	-3.945E-2	-1.256	7.931E-2
9.850	-5.231E-2	-1.344	9.100E-2
9.860	-6.634E-2	-1.169	6.898E-2
9.870	-7.568E-2	-1.110	6.202E-2
9.880	-8.854E-2	-1.081	5.882E-2
9.890	-9.731E-2	-0.701	2.527E-2
9.900	-0.103	-0.555	1.695E-2
9.910	-0.108	-0.526	1.592E-2
9.920	-0.113	-0.351	6.829E-3
9.930	-0.115	-0.117	7.256E-4
9.940	-0.115	2.922E-2	4.268E-5
9.950	-0.115	0.146	1.067E-3
9.960	-0.112	0.321	5.165E-3
9.970	-0.108	0.672	2.258E-2
9.980	-9.906E-2	0.847	3.607E-2
9.990	-9.146E-2	0.906	4.140E-2
10.000	-8.094E-2	1.227	7.534E-2
10.010	-6.692E-2	1.256	7.909E-2
10.020	-5.582E-2	1.286	8.263E-2
10.030	-4.121E-2	1.432	0.103
10.040	-2.718E-2	1.373	9.433E-2
10.050	-1.374E-2	1.198	7.175E-2
10.060	-3.225E-3	1.256	7.896E-2
10.070	1.138E-2	1.169	6.829E-2
10.080	2.015E-2	1.198	7.179E-2
10.090	3.534E-2	1.344	9.049E-2
10.100	4.703E-2	0.818	3.351E-2
10.110	5.170E-2	0.730	2.706E-2
10.120	6.164E-2	0.847	3.607E-2
10.130	6.865E-2	0.614	1.921E-2
10.140	7.391E-2	0.555	1.558E-2
10.150	7.975E-2	0.292	4.439E-3
10.160	7.975E-2	-5.844E-2	8.537E-4
10.170	7.858E-2	-8.765E-2	5.549E-4
10.180	7.800E-2	-0.234	2.732E-3
10.190	7.391E-2	-0.526	1.383E-2
10.200	6.748E-2	-0.701	2.497E-2
10.210	5.988E-2	-0.877	3.841E-2
10.220	4.995E-2	-0.935	4.371E-2
10.230	4.119E-2	-0.993	4.951E-2
10.240	3.008E-2	-1.256	7.892E-2
10.250	1.606E-2	-1.169	6.868E-2
10.260	6.709E-3	-1.344	9.049E-2
10.270	-1.082E-2	-1.578	0.124
10.280	-2.485E-2	-1.227	7.598E-2
10.290	-3.536E-2	-1.139	6.599E-2
10.300	-4.764E-2	-1.227	7.546E-2
10.310	-5.991E-2	-1.256	7.960E-2
10.320	-7.276E-2	-1.023	5.233E-2
10.330	-8.036E-2	-0.935	4.371E-2
10.340	-9.146E-2	-0.906	4.106E-2
10.350	-9.847E-2	-0.760	2.890E-2
10.360	-0.107	-0.555	1.558E-2
10.370	-0.110	-0.292	4.951E-3
10.380	-0.112	-0.175	1.537E-3
10.390	-0.113	-2.922E-2	8.537E-5
10.400	-0.113	0.117	7.256E-4
10.410	-0.111	0.321	5.335E-3
10.420	-0.107	0.526	1.490E-2
10.430	-0.100	0.760	2.954E-2
10.440	-9.146E-2	0.818	3.363E-2
10.450	-8.387E-2	1.110	6.168E-2
10.460	-6.926E-2	1.286	8.263E-2
10.470	-5.815E-2	1.139	6.509E-2
10.480	-4.647E-2	1.227	7.529E-2
10.490	-3.361E-2	1.256	7.931E-2
10.500	-2.134E-2	1.169	7.102E-2
10.510	-1.024E-2	1.432	0.103
10.520	7.293E-3	1.432	0.103
10.530	1.840E-2	1.110	6.202E-2
10.540	2.950E-2	1.169	6.936E-2
10.550	4.177E-2	1.052	5.532E-2
10.560	5.053E-2	0.964	4.665E-2
10.570	6.105E-2	0.818	3.346E-2
10.580	6.690E-2	0.614	1.882E-2
10.590	7.332E-2	0.497	1.251E-2
10.600	7.683E-2	0.175	1.707E-3
10.610	7.683E-2	2.922E-2	4.268E-5
10.620	7.742E-2	-5.844E-2	5.549E-4
10.630	7.566E-2	-0.234	3.116E-3
10.640	7.274E-2	-0.380	7.256E-3
10.650	6.807E-2	-0.555	1.558E-2
10.660	6.164E-2	-0.877	3.880E-2
10.670	5.053E-2	-1.169	6.868E-2
10.680	3.826E-2	-0.993	4.938E-2
10.690	3.067E-2	-1.052	5.549E-2
10.700	1.723E-2	-1.169	6.846E-2
10.710	7.293E-3	-1.052	5.549E-2
10.720	-3.810E-3	-1.227	7.546E-2
10.730	-1.725E-2	-1.549	0.121
10.740	-3.478E-2	-1.432	0.103
10.750	-4.588E-2	-1.169	6.868E-2
10.760	-5.815E-2	-1.344	9.100E-2
10.770	-7.276E-2	-1.227	7.546E-2
10.780	-8.270E-2	-0.906	4.102E-2
10.790	-9.088E-2	-0.789	3.129E-2
10.800	-9.847E-2	-0.672	2.296E-2
10.810	-0.104	-0.497	1.272E-2
10.820	-0.108	-0.351	6.189E-3
10.830	-0.111	-0.175	1.537E-3
10.840	-0.112	0.117	7.256E-4
10.850	-0.109	0.263	3.457E-3
10.860	-0.107	0.351	6.317E-3
10.870	-0.102	0.584	1.712E-2
10.880	-9.497E-2	0.614	1.882E-2
10.890	-8.971E-2	0.789	3.112E-2
10.900	-7.919E-2	1.081	5.848E-2
10.910	-6.809E-2	1.139	6.492E-2
10.920	-5.640E-2	1.256	7.896E-2
10.930	-4.296E-2	1.256	7.909E-2
10.940	-3.127E-2	1.286	8.263E-2
10.950	-1.725E-2	1.373	9.433E-2
10.960	-3.810E-3	1.198	7.192E-2
10.970	6.709E-3	1.256	7.892E-2
10.980	2.132E-2	1.402	9.902E-2
10.990	3.476E-2	1.198	7.213E-2
11.000	4.528E-2	0.964	4.648E-2
11.010	5.404E-2	0.818	3.363E-2
11.020	6.164E-2	0.760	2.954E-2
11.030	6.923E-2	0.555	1.558E-2
11.040	7.274E-2	0.409	8.537E-3
11.050	7.742E-2	0.467	1.131E-2
11.060	8.209E-2	0.292	4.439E-3
11.070	8.326E-2	-2.922E-2	4.268E-4
11.080	8.151E-2	-0.409	8.409E-3
11.090	7.508E-2	-0.467	1.131E-2
11.100	7.216E-2	-0.584	1.712E-2
11.110	6.339E-2	-0.935	4.409E-2
11.120	5.346E-2	-1.139	6.509E-2
11.130	4.060E-2	-0.993	5.002E-2
11.140	3.359E-2	-0.818	3.351E-2
11.150	2.424E-2	-1.286	8.302E-2
11.160	7.877E-3	-1.344	9.070E-2
11.170	-2.641E-3	-1.169	6.829E-2
11.180	-1.550E-2	0.0	0.0
