# Time (s)	Position (m)	Velocity (ms^-1)
9.220	-9.173E-2	-6.845E-2
9.230	-9.241E-2	-3.423E-2
9.240	-9.241E-2	3.423E-2
9.250	-9.173E-2	0.240
9.260	-8.762E-2	0.274
9.270	-8.625E-2	0.205
9.280	-8.351E-2	0.240
9.290	-8.146E-2	0.513
9.300	-7.325E-2	0.821
9.310	-6.503E-2	0.719
9.320	-5.887E-2	0.548
9.330	-5.408E-2	0.548
9.340	-4.792E-2	0.719
9.350	-3.970E-2	0.753
9.360	-3.286E-2	0.685
9.370	-2.601E-2	0.650
9.380	-1.985E-2	0.821
9.390	-9.584E-3	0.856
9.400	-2.738E-3	0.616
9.410	2.738E-3	0.548
9.420	8.215E-3	0.616
9.430	1.506E-2	0.513
9.440	1.848E-2	0.753
9.450	3.012E-2	0.821
9.460	3.491E-2	0.240
9.470	3.491E-2	0.479
9.480	4.450E-2	0.650
9.490	4.792E-2	0.342
9.500	5.134E-2	0.240
9.510	5.271E-2	6.845E-2
9.520	5.271E-2	0.000
9.530	5.271E-2	0.103
9.540	5.476E-2	0.103
9.550	5.476E-2	0.000
9.560	5.476E-2	-0.103
9.570	5.271E-2	-0.171
9.580	5.134E-2	-0.445
9.590	4.381E-2	-0.650
9.600	3.833E-2	-0.548
9.610	3.286E-2	-0.479
9.620	2.875E-2	-0.479
9.630	2.327E-2	-0.616
9.640	1.643E-2	-0.582
9.650	1.164E-2	-0.650
9.660	3.423E-3	-0.821
9.670	-4.792E-3	-0.856
9.680	-1.369E-2	-0.856
9.690	-2.191E-2	-0.753
9.700	-2.875E-2	-0.753
9.710	-3.697E-2	-0.582
9.720	-4.039E-2	-0.548
9.730	-4.792E-2	-0.582
9.740	-5.203E-2	-0.445
9.750	-5.682E-2	-0.685
9.760	-6.572E-2	-0.616
9.770	-6.914E-2	-0.445
9.780	-7.462E-2	-0.308
9.790	-7.530E-2	-0.240
9.800	-7.941E-2	-0.411
9.810	-8.351E-2	-0.342
9.820	-8.625E-2	-0.205
9.830	-8.762E-2	3.423E-2
9.840	-8.557E-2	0.171
9.850	-8.420E-2	0.103
9.860	-8.351E-2	0.103
9.870	-8.215E-2	0.171
9.880	-8.009E-2	0.445
9.890	-7.325E-2	0.479
9.900	-7.051E-2	0.342
9.910	-6.640E-2	0.308
9.920	-6.435E-2	0.513
9.930	-5.613E-2	0.821
9.940	-4.792E-2	0.719
9.950	-4.176E-2	0.719
9.960	-3.354E-2	0.719
9.970	-2.738E-2	0.685
9.980	-1.985E-2	0.719
9.990	-1.301E-2	0.719
10.000	-5.476E-3	0.685
10.010	6.845E-4	0.582
10.020	6.161E-3	0.616
10.030	1.301E-2	0.787
10.040	2.191E-2	0.719
10.050	2.738E-2	0.582
10.060	3.354E-2	0.616
10.070	3.970E-2	0.548
10.080	4.450E-2	0.376
10.090	4.723E-2	0.308
10.100	5.066E-2	0.548
10.110	5.819E-2	0.445
10.120	5.956E-2	0.171
10.130	6.161E-2	0.137
10.140	6.229E-2	3.423E-2
10.150	6.229E-2	0.000
10.160	6.229E-2	-3.423E-2
10.170	6.161E-2	-0.171
10.180	5.887E-2	-0.205
10.190	5.750E-2	-0.171
10.200	5.545E-2	-0.171
10.210	5.408E-2	-0.513
10.220	4.518E-2	-0.582
10.230	4.244E-2	-0.582
10.240	3.354E-2	-0.787
10.250	2.670E-2	-0.616
10.260	2.122E-2	-0.513
10.270	1.643E-2	-0.787
10.280	5.476E-3	-0.958
10.290	-2.738E-3	-0.719
10.300	-8.899E-3	-0.582
10.310	-1.438E-2	-0.685
10.320	-2.259E-2	-0.787
10.330	-3.012E-2	-0.616
10.340	-3.491E-2	-0.445
10.350	-3.902E-2	-0.753
10.360	-4.997E-2	-0.753
10.370	-5.408E-2	-0.376
10.380	-5.750E-2	-0.513
10.390	-6.435E-2	-0.445
10.400	-6.640E-2	-0.342
10.410	-7.119E-2	-0.411
10.420	-7.462E-2	-0.342
10.430	-7.804E-2	-0.308
10.440	-8.078E-2	-0.137
10.450	-8.078E-2	0.103
10.460	-7.872E-2	0.103
10.470	-7.872E-2	3.423E-2
10.480	-7.804E-2	3.423E-2
10.490	-7.804E-2	3.423E-2
10.500	-7.735E-2	0.274
10.510	-7.256E-2	0.274
10.520	-7.188E-2	0.411
10.530	-6.435E-2	0.685
10.540	-5.819E-2	0.753
10.550	-4.929E-2	0.753
10.560	-4.313E-2	0.650
10.570	-3.628E-2	0.856
10.580	-2.601E-2	0.719
10.590	-2.191E-2	0.308
10.600	-1.985E-2	0.513
10.610	-1.164E-2	0.753
10.620	-4.792E-3	0.787
10.630	4.107E-3	0.856
10.640	1.232E-2	0.787
10.650	1.985E-2	0.856
10.660	2.944E-2	0.616
10.670	3.217E-2	0.342
10.680	3.628E-2	0.445
10.690	4.107E-2	0.411
10.700	4.450E-2	0.342
10.710	4.792E-2	0.479
10.720	5.408E-2	0.513
10.730	5.819E-2	0.240
10.740	5.887E-2	0.171
10.750	6.161E-2	0.171
10.760	6.229E-2	6.845E-2
10.770	6.298E-2	-3.423E-2
10.780	6.161E-2	-6.845E-2
10.790	6.161E-2	-6.845E-2
10.800	6.024E-2	-0.308
10.810	5.545E-2	-0.308
10.820	5.408E-2	-0.274
10.830	4.997E-2	-0.582
10.840	4.244E-2	-0.616
10.850	3.765E-2	-0.513
10.860	3.217E-2	-0.582
10.870	2.601E-2	-0.650
10.880	1.917E-2	-0.753
10.890	1.095E-2	-0.445
10.900	1.027E-2	-0.582
10.910	-6.845E-4	-0.958
10.920	-8.899E-3	-0.650
10.930	-1.369E-2	-0.719
10.940	-2.327E-2	-0.753
10.950	-2.875E-2	-0.616
10.960	-3.560E-2	-0.582
10.970	-4.039E-2	-0.548
10.980	-4.655E-2	-0.548
10.990	-5.134E-2	-0.685
11.000	-6.024E-2	-0.650
11.010	-6.435E-2	-0.308
11.020	-6.640E-2	-0.240
11.030	-6.914E-2	-0.376
11.040	-7.393E-2	-0.411
11.050	-7.735E-2	-0.137
11.060	-7.667E-2	3.423E-2
11.070	-7.667E-2	-3.423E-2
11.080	-7.735E-2	-3.423E-2
11.090	-7.735E-2	3.423E-2
11.100	-7.667E-2	0.103
11.110	-7.530E-2	0.103
11.120	-7.462E-2	0.137
11.130	-7.256E-2	0.342
11.140	-6.777E-2	0.753
11.150	-5.750E-2	0.685
11.160	-5.408E-2	0.616
11.170	-4.518E-2	0.548
11.180	-4.313E-2	0.411
11.190	-3.697E-2	0.685
11.200	-2.944E-2	0.821
11.210	-2.054E-2	0.890
11.220	-1.164E-2	0.787
11.230	-4.792E-3	0.582
11.240	0.000	0.650
11.250	8.215E-3	0.753
11.260	1.506E-2	0.787
11.270	2.396E-2	0.685
11.280	2.875E-2	0.513
11.290	3.423E-2	0.513
11.300	3.902E-2	0.411
11.310	4.244E-2	0.548
11.320	4.997E-2	0.548
11.330	5.339E-2	0.274
11.340	5.545E-2	0.240
11.350	5.819E-2	0.240
11.360	6.024E-2	0.171
11.370	6.161E-2	0.137
11.380	6.298E-2	0.137
11.390	6.435E-2	6.845E-2
11.400	6.435E-2	-6.845E-2
11.410	6.298E-2	-0.205
11.420	6.024E-2	-0.342
11.430	5.613E-2	-0.445
11.440	5.134E-2	-0.308
11.450	4.997E-2	-0.274
11.460	4.586E-2	-0.685
11.470	3.628E-2	-0.753
11.480	3.080E-2	-0.445
11.490	2.738E-2	-0.479
11.500	2.122E-2	-0.753
11.510	1.232E-2	-0.685
11.520	7.530E-3	-0.582
11.530	6.845E-4	-0.753
11.540	-7.530E-3	-0.821
11.550	-1.574E-2	-0.753
11.560	-2.259E-2	-0.685
11.570	-2.944E-2	-0.856
11.580	-3.970E-2	-0.616
11.590	-4.176E-2	-0.513
11.600	-4.997E-2	-0.616
11.610	-5.408E-2	-0.342
11.620	-5.682E-2	-0.308
11.630	-6.024E-2	-0.650
11.640	-6.982E-2	-0.616
11.650	-7.256E-2	-0.171
11.660	-7.325E-2	-0.240
11.670	-7.735E-2	-0.205
11.680	-7.735E-2	0.000
11.690	-7.735E-2	0.000
11.700	-7.735E-2	0.000
11.710	-7.735E-2	0.000
11.720	-7.735E-2	0.171
11.730	-7.393E-2	0.411
11.740	-6.914E-2	0.308
11.750	-6.777E-2	0.240
11.760	-6.435E-2	0.342
11.770	-6.092E-2	0.753
11.780	-4.929E-2	1.095
11.790	-3.902E-2	0.685
11.800	-3.560E-2	0.445
11.810	-3.012E-2	0.513
11.820	-2.533E-2	0.650
11.830	-1.711E-2	0.753
11.840	-1.027E-2	0.787
11.850	-1.369E-3	0.685
11.860	3.423E-3	0.342
11.870	5.476E-3	0.650
11.880	1.643E-2	0.821
11.890	2.191E-2	0.616
11.900	2.875E-2	0.548
11.910	3.286E-2	0.582
11.920	4.039E-2	0.650
11.930	4.586E-2	0.479
11.940	4.997E-2	0.445
11.950	5.476E-2	0.445
11.960	5.887E-2	0.479
11.970	6.435E-2	0.650
11.980	7.188E-2	-0.103
11.990	6.229E-2	-0.376
12.000	6.435E-2	0.274
12.010	6.777E-2	-6.845E-2
12.020	6.298E-2	-0.342
12.030	6.092E-2	-0.171
12.040	5.956E-2	-0.240
12.050	5.613E-2	-0.342
12.060	5.271E-2	-0.342
12.070	4.929E-2	-0.445
12.080	4.381E-2	-0.616
12.090	3.697E-2	-0.616
12.100	3.149E-2	-0.616
