# Time (s)	Position (m)	Velocity (ms^-1)
0.00	-1.024E-2	0.000
0.010	-1.187E-2	0.155
0.020	-9.094E-3	0.370
0.030	-4.466E-3	0.509
0.040	1.086E-3	0.555
0.050	6.639E-3	0.463
0.060	1.034E-2	0.602
0.070	1.867E-2	0.694
0.080	2.422E-2	0.694
0.090	3.255E-2	0.787
0.100	3.996E-2	0.879
0.110	5.014E-2	0.740
0.120	5.476E-2	0.740
0.130	6.494E-2	0.879
0.140	7.235E-2	0.833
0.150	8.160E-2	0.787
0.160	8.808E-2	0.694
0.170	9.549E-2	0.648
0.180	0.101	0.648
0.190	0.108	0.787
0.200	0.117	0.648
0.210	0.121	0.463
0.220	0.126	0.370
0.230	0.129	0.509
0.240	0.136	0.463
0.250	0.138	0.185
0.260	0.140	0.370
0.270	0.145	0.278
0.280	0.145	4.627E-2
0.290	0.146	4.627E-2
0.300	0.146	-0.185
0.310	0.143	-0.231
0.320	0.142	-0.185
0.330	0.139	-0.278
0.340	0.136	-0.231
0.350	0.134	-0.324
0.360	0.130	-0.370
0.370	0.127	-0.324
0.380	0.123	-0.555
0.390	0.116	-0.648
0.400	0.110	-0.648
0.410	0.103	-0.602
0.420	9.826E-2	-0.555
0.430	9.178E-2	-0.602
0.440	8.623E-2	-0.879
0.450	7.420E-2	-1.018
0.460	6.587E-2	-0.879
0.470	5.662E-2	-0.648
0.480	5.291E-2	-0.694
0.490	4.273E-2	-0.787
0.500	3.718E-2	-0.787
0.510	2.700E-2	-0.694
0.520	2.330E-2	-0.602
0.530	1.497E-2	-0.694
0.540	9.416E-3	-0.602
0.550	2.937E-3	-0.602
0.560	-2.615E-3	-0.509
0.570	-7.243E-3	-0.416
0.580	-1.094E-2	-0.416
0.590	-1.557E-2	-0.509
0.600	-2.113E-2	-0.370
0.610	-2.298E-2	-0.139
0.620	-2.390E-2	-4.627E-2
0.630	-2.390E-2	0.000
0.640	-2.390E-2	4.627E-2
0.650	-2.298E-2	0.139
0.660	-2.113E-2	0.231
0.670	-1.835E-2	0.278
0.680	-1.557E-2	0.324
0.690	-1.187E-2	0.278
0.700	-1.002E-2	0.370
0.710	-4.466E-3	0.463
0.720	-7.645E-4	0.463
0.730	4.788E-3	0.555
0.740	1.034E-2	0.694
0.750	1.867E-2	0.694
0.760	2.422E-2	0.602
0.770	3.070E-2	0.833
0.780	4.088E-2	0.833
0.790	4.736E-2	0.879
0.800	5.847E-2	0.833
0.810	6.402E-2	0.740
0.820	7.327E-2	0.740
0.830	7.883E-2	0.740
0.840	8.808E-2	0.648
0.850	9.178E-2	0.787
0.860	0.104	0.972
0.870	0.111	0.602
0.880	0.116	0.602
0.890	0.123	0.463
0.900	0.125	0.648
0.910	0.136	0.740
0.920	0.140	0.324
0.930	0.143	0.278
0.940	0.145	0.231
0.950	0.147	9.255E-2
0.960	0.147	0.139
0.970	0.150	0.231
0.980	0.152	9.255E-2
0.990	0.152	0.000
1.000	0.152	-0.185
1.010	0.148	-0.324
1.020	0.145	-0.231
1.030	0.144	-0.231
1.040	0.141	-0.370
