#initial-angle1(-30.7)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
5	-6.99E-02	0.143	-2.29E-01	-1.27E-01	-1.08E-01	3.20E-02	8.18E-02	-1.02E-01
5.1	-8.02E-02	0.146	-2.17E-01	-1.39E-01	-8.77E-02	2.83E-02	1.62E-01	-9.03E-02
5.2	-8.75E-02	0.149	-1.96E-01	-1.45E-01	-6.85E-02	2.65E-02	2.04E-01	-5.62E-02
5.3	-9.38E-02	1.51E-01	-1.76E-01	-1.50E-01	-5.11E-02	2.01E-02	2.46E-01	-4.12E-02
5.4	-9.77E-02	1.53E-01	-1.47E-01	-1.54E-01	-1.37E-02	3.65E-03	2.83E-01	-2.34E-02
5.5	-9.66E-02	1.52E-01	-1.19E-01	-1.54E-01	3.65E-02	-1.83E-02	0.272	-1.46E-02
5.6	-9.04E-02	0.149	-9.26E-02	-1.57E-01	7.58E-02	-3.01E-02	2.75E-01	-2.90E-02
5.7	-8.14E-02	0.146	-6.40E-02	-1.60E-01	1.13E-01	-3.74E-02	2.85E-01	-4.31E-02
5.8	-6.77E-02	0.142	-3.57E-02	-1.65E-01	1.47E-01	-4.57E-02	2.83E-01	-5.13E-02
5.9	-5.20E-02	1.37E-01	-7.41E-03	-1.71E-01	1.73E-01	-3.74E-02	2.83E-01	-4.52E-02
6	-3.32E-02	1.34E-01	2.09E-02	-1.74E-01	2.16E-01	-2.83E-02	0.259	-2.56E-02
6.1	-8.75E-03	1.31E-01	4.43E-02	-1.76E-01	2.11E-01	-1.55E-02	2.29E-01	-9.76E-03
6.2	8.97E-03	0.131	6.68E-02	-1.76E-01	2.31E-01	1.10E-02	0.228	1.95E-02
6.3	3.75E-02	0.133	9.00E-02	-1.72E-01	2.46E-01	2.37E-02	0.226	5.86E-02
6.4	5.81E-02	0.136	1.12E-01	-1.64E-01	2.08E-01	4.02E-02	2.10E-01	7.57E-02
6.5	7.91E-02	1.41E-01	1.32E-01	-1.57E-01	1.94E-01	5.48E-02	1.85E-01	6.71E-02
6.6	9.68E-02	0.147	1.49E-01	-1.51E-01	0.149	5.20E-02	1.77E-01	5.49E-02
6.7	1.09E-01	0.152	1.67E-01	-1.46E-01	1.06E-01	4.75E-02	1.71E-01	4.15E-02
6.8	1.18E-01	0.156	1.83E-01	-1.43E-01	6.03E-02	2.92E-02	0.15	1.34E-02
6.9	1.21E-01	0.158	1.97E-01	-1.43E-01	1.74E-02	7.30E-03	1.34E-01	-1.22E-03
7	1.21E-01	0.158	2.10E-01	-1.43E-01	-1.28E-02	-7.30E-03	1.05E-01	-1.22E-03
7.1	1.18E-01	0.156	2.18E-01	-1.43E-01	-5.11E-02	-2.65E-02	7.08E-02	0.00E+00
7.2	1.11E-01	0.152	2.24E-01	-1.43E-01	-8.67E-02	-3.65E-02	2.93E-02	3.66E-03
7.3	1.01E-01	0.149	2.24E-01	-1.42E-01	-0.117	-4.20E-02	-3.05E-02	2.44E-02
7.4	8.79E-02	1.44E-01	2.18E-01	-1.38E-01	-1.35E-01	-4.20E-02	-9.52E-02	3.78E-02
7.5	7.40E-02	1.40E-01	2.05E-01	-1.35E-01	-1.47E-01	-3.65E-02	-0.15	2.20E-02
7.6	5.85E-02	0.137	1.88E-01	-1.34E-01	-1.50E-01	-3.56E-02	-1.90E-01	3.66E-03
