#initial-angle1(-61.4)	initial-angle2(0)
#t	x1	y1	x2	y2	vx1	vy1	vx2	vy2
0.1	-2.28E-01	-1.24E-01	-3.45E-01	-3.72E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
0.2	-2.22E-01	-1.34E-01	-3.52E-01	-3.77E-01	7.95E-02	-1.27E-01	-5.09E-02	-7.88E-02
0.3	-2.12E-01	-1.50E-01	-3.55E-01	-3.88E-01	1.27E-01	-1.84E-01	-2.86E-02	-1.56E-01
0.4	-1.96E-01	-1.71E-01	-3.58E-01	-4.08E-01	1.91E-01	-2.29E-01	-7.07E-03	-2.02E-01
0.5	-1.73E-01	-1.95E-01	-3.57E-01	-4.28E-01	2.68E-01	-2.36E-01	3.73E-02	-2.27E-01
0.6	-1.43E-01	-0.218	-3.50E-01	-4.53E-01	3.40E-01	-2.19E-01	1.41E-01	-2.12E-01
0.7	-1.05E-01	-2.39E-01	-3.28E-01	-4.71E-01	3.90E-01	-1.79E-01	2.68E-01	-1.33E-01
0.8	-6.46E-02	-2.54E-01	-2.96E-01	-4.80E-01	4.25E-01	-1.19E-01	3.40E-01	-1.19E-01
0.9	-2.04E-02	-2.63E-01	-2.60E-01	-4.94E-01	4.22E-01	-4.23E-02	3.80E-01	-1.21E-01
1	1.98E-02	-2.63E-01	-2.20E-01	-5.04E-01	3.93E-01	2.47E-02	5.27E-01	-7.26E-02
1.1	5.83E-02	-2.58E-01	-1.55E-01	-5.09E-01	0.363	6.14E-02	7.38E-01	-4.50E-02
1.2	9.23E-02	-2.50E-01	-7.28E-02	-5.13E-01	0.301	9.21E-02	8.08E-01	-6.12E-02
1.3	1.19E-01	-2.40E-01	6.67E-03	-5.21E-01	0.218	1.03E-01	0.756	-4.43E-02
1.4	1.36E-01	-2.30E-01	7.84E-02	-5.22E-01	1.45E-01	8.37E-02	0.733	-2.56E-02
1.5	1.48E-01	-2.23E-01	1.53E-01	-5.26E-01	7.81E-02	4.18E-02	7.73E-01	1.08E-02
1.6	1.51E-01	-2.21E-01	2.33E-01	-5.20E-01	2.51E-02	8.37E-03	7.61E-01	1.52E-01
1.7	1.53E-01	-0.221	3.06E-01	-4.96E-01	-5.58E-03	0.00E+00	6.63E-01	3.43E-01
1.8	1.50E-01	-0.221	3.65E-01	-4.51E-01	-1.40E-02	0.00E+00	4.54E-01	5.11E-01
1.9	1.50E-01	-0.221	3.96E-01	-3.94E-01	-1.12E-02	-5.58E-03	2.27E-01	5.74E-01
2	1.48E-01	-2.22E-01	4.11E-01	-3.36E-01	-1.12E-02	-8.37E-03	6.31E-02	5.40E-01
2.1	1.48E-01	-2.23E-01	4.09E-01	-2.86E-01	-1.40E-02	-1.12E-02	-8.10E-02	4.54E-01
2.2	1.45E-01	-2.25E-01	3.95E-01	-2.46E-01	-4.18E-02	-3.35E-02	-1.73E-01	3.46E-01
2.3	1.39E-01	-2.30E-01	3.74E-01	-2.16E-01	-6.42E-02	-3.63E-02	-2.31E-01	2.38E-01
2.4	1.33E-01	-2.32E-01	3.48E-01	-1.98E-01	-8.93E-02	-4.18E-02	-2.73E-01	1.34E-01
2.5	1.21E-01	-2.38E-01	3.20E-01	-1.90E-01	-1.42E-01	-6.42E-02	-2.85E-01	5.31E-02
2.6	1.04E-01	-2.45E-01	2.91E-01	-1.87E-01	-1.87E-01	-6.97E-02	-2.68E-01	1.39E-03
2.7	8.40E-02	-2.52E-01	2.66E-01	-1.89E-01	-2.15E-01	-6.70E-02	-2.14E-01	-4.83E-03
2.8	6.11E-02	-2.58E-01	2.49E-01	-1.88E-01	-2.40E-01	-5.30E-02	-1.64E-01	1.97E-02
2.9	3.60E-02	-2.63E-01	2.33E-01	-1.85E-01	-2.68E-01	-2.79E-02	-1.65E-01	-6.70E-02
3	7.54E-03	-2.64E-01	2.16E-01	-2.02E-01	-2.90E-01	0.00E+00	-8.36E-02	-1.80E-01
3.1	-2.20E-02	-2.63E-01	2.17E-01	-2.21E-01	-2.82E-01	3.07E-02	1.81E-02	-2.60E-01
3.2	-4.88E-02	-2.58E-01	2.19E-01	-2.54E-01	-2.54E-01	5.30E-02	-1.67E-01	-4.57E-01
3.3	-7.28E-02	-2.52E-01	1.83E-01	-3.13E-01	-2.01E-01	5.58E-02	-3.37E-01	-5.72E-01
3.4	-8.90E-02	-2.46E-01	1.52E-01	-3.68E-01	-1.22E-01	4.03E-02	-4.62E-01	-5.55E-01
3.5	-9.73E-02	-2.44E-01	9.08E-02	-4.24E-01	-4.14E-02	1.95E-02	-7.51E-01	-5.40E-01
3.6	-9.73E-02	-2.42E-01	1.77E-03	-4.76E-01	6.68E-02	-2.46E-02	-7.53E-01	-5.09E-01
3.7	-8.39E-02	-2.49E-01	-5.98E-02	-5.26E-01	1.62E-01	-6.33E-02	-6.43E-01	-3.91E-01
3.8	-6.49E-02	-2.55E-01	-1.27E-01	-5.54E-01	1.92E-01	-5.10E-02	-6.40E-01	-8.12E-02
3.9	-4.56E-02	-2.59E-01	-1.88E-01	-5.42E-01	1.58E-01	-2.99E-02	-5.12E-01	3.25E-01
4	-3.33E-02	-2.61E-01	-2.29E-01	-4.89E-01	7.73E-02	-1.05E-02	-2.21E-01	6.01E-01
4.1	-3.02E-02	-2.61E-01	-2.32E-01	-4.22E-01	3.16E-02	0.00E+00	-3.50E-02	5.34E-01
4.2	-2.70E-02	-2.61E-01	-2.36E-01	-3.82E-01	1.76E-02	0.00E+00	1.12E-02	4.63E-01
4.3	-2.66E-02	-2.61E-01	-2.30E-01	-3.29E-01	1.76E-03	0.00E+00	1.10E-01	5.49E-01
4.4	-2.66E-02	-0.261	-2.14E-01	-2.72E-01	-1.93E-02	0.00E+00	2.52E-01	4.63E-01
4.5	-3.05E-02	-0.261	-1.79E-01	-2.36E-01	-2.11E-02	0.00E+00	3.40E-01	3.17E-01
4.6	-3.09E-02	-0.261	-1.46E-01	-2.09E-01	-3.52E-03	0.00E+00	3.35E-01	1.95E-01
4.7	-3.12E-02	-0.261	-1.12E-01	-1.97E-01	-5.27E-03	0.00E+00	3.44E-01	1.23E-01
4.8	-3.19E-02	-0.261	-7.73E-02	-1.85E-01	-5.27E-03	3.52E-03	3.47E-01	7.53E-02
4.9	-3.23E-02	-0.26	-4.30E-02	-1.82E-01	2.99E-02	3.52E-03	3.26E-01	-1.12E-02
5	-2.59E-02	-0.26	-1.20E-02	-1.87E-01	6.50E-02	-5.27E-03	3.36E-01	-6.28E-02
5.1	-1.93E-02	-0.261	2.43E-02	-1.95E-01	4.39E-02	-5.27E-03	3.63E-01	-1.16E-01
5.2	-1.71E-02	-0.261	6.05E-02	-2.10E-01	4.92E-02	-5.27E-03	3.53E-01	-1.74E-01
5.3	-9.41E-03	-0.262	9.48E-02	-2.30E-01	6.50E-02	-8.79E-03	3.46E-01	-2.45E-01
5.4	-4.14E-03	-2.63E-01	1.30E-01	-2.59E-01	7.21E-02	-3.52E-03	3.29E-01	-3.14E-01
5.5	5.00E-03	-2.63E-01	1.61E-01	-2.93E-01	9.49E-02	3.52E-03	2.51E-01	-4.10E-01
5.6	1.48E-02	-2.62E-01	1.80E-01	-3.41E-01	1.41E-01	1.05E-02	1.88E-01	-4.69E-01
5.7	3.31E-02	-2.61E-01	1.98E-01	-3.86E-01	2.11E-01	2.11E-02	2.22E-01	-5.48E-01
5.8	5.70E-02	-0.258	2.24E-01	-4.51E-01	2.64E-01	5.10E-02	7.67E-02	-6.07E-01
5.9	8.58E-02	-0.251	2.14E-01	-5.08E-01	2.64E-01	7.73E-02	-1.99E-01	-4.94E-01
6	1.10E-01	-2.43E-01	1.84E-01	-5.49E-01	2.00E-01	8.44E-02	-3.82E-01	-2.15E-01
6.1	1.26E-01	-2.34E-01	1.37E-01	-5.51E-01	1.16E-01	5.27E-02	-4.77E-01	1.53E-01
6.2	1.33E-01	-2.32E-01	8.90E-02	-5.19E-01	2.99E-02	8.79E-03	-4.62E-01	3.89E-01
6.3	1.32E-01	-2.32E-01	4.49E-02	-4.73E-01	-5.27E-02	-1.58E-02	-3.96E-01	4.56E-01
6.4	1.22E-01	-0.235	9.74E-03	-4.28E-01	-1.19E-01	-5.80E-02	-0.326	4.46E-01
6.5	1.08E-01	-0.244	-2.04E-02	-3.83E-01	-1.63E-01	-6.68E-02	-2.61E-01	4.11E-01
